UART command listener started.

Waiting for command:

Received '1' command. GPIO high, start read.

Addr 0x10100216 = 0x378F

Addr 0x10100218 = 0x1183

Addr 0x1010021A = 0xE984

Addr 0x1010021C = 0xC392

Addr 0x1010021E = 0xA4AA

Addr 0x10100220 = 0x8FC9

Addr 0x10100222 = 0x83EF

Addr 0x10100224 = 0x8417

Addr 0x10100226 = 0x923D

Addr 0x10100228 = 0xAA5C

Addr 0x1010022A = 0xC971

Addr 0x1010022C = 0xEF7D

Addr 0x1010022E = 0x177C

Addr 0x10100230 = 0x3D6E

Addr 0x10100232 = 0x5C56

Addr 0x10100234 = 0x7137

Addr 0x10100236 = 0x7D11

Addr 0x10100238 = 0x7CE9

Addr 0x1010023A = 0x6EC3

Addr 0x1010023C = 0x56A4

Addr 0x1010023E = 0x378F

Addr 0x10100240 = 0x1183

Addr 0x10100242 = 0xE984

Addr 0x10100244 = 0xC392

Addr 0x10100246 = 0xA4AA

Addr 0x10100248 = 0x8FC9

Addr 0x1010024A = 0x83EF

Addr 0x1010024C = 0x8417

Addr 0x1010024E = 0x923D

Addr 0x10100250 = 0xAA5C

Addr 0x10100252 = 0xC971

Addr 0x10100254 = 0xEF7D

Addr 0x10100256 = 0x177C

Addr 0x10100258 = 0x3D6E

Addr 0x1010025A = 0x5C56

Addr 0x1010025C = 0x7137

Addr 0x1010025E = 0x7D11

Addr 0x10100260 = 0x7CE9

Addr 0x10100262 = 0x6EC3

Addr 0x10100264 = 0x56A4

Addr 0x10100266 = 0x378F

Addr 0x10100268 = 0x1183

Addr 0x1010026A = 0xE984

Addr 0x1010026C = 0xC392

Addr 0x1010026E = 0xA4AA

Addr 0x10100270 = 0x8FC9

Addr 0x10100272 = 0x83EF

Addr 0x10100274 = 0x8417

Addr 0x10100276 = 0x923D

Addr 0x10100278 = 0xAA5C

Addr 0x1010027A = 0xC971

Addr 0x1010027C = 0xEF7D

Addr 0x1010027E = 0x177C

Addr 0x10100280 = 0x3D6E

Addr 0x10100282 = 0x5C56

Addr 0x10100284 = 0x7137

Addr 0x10100286 = 0x7D11

Addr 0x10100288 = 0x7CE9

Addr 0x1010028A = 0x6EC3

Addr 0x1010028C = 0x56A4

Addr 0x1010028E = 0x378F

Addr 0x10100290 = 0x1183

Addr 0x10100292 = 0xE984

Addr 0x10100294 = 0xC392

Addr 0x10100296 = 0xA4AA

Addr 0x10100298 = 0x8FC9

Addr 0x1010029A = 0x83EF

Addr 0x1010029C = 0x8417

Addr 0x1010029E = 0x923D

Addr 0x101002A0 = 0xAA5C

Addr 0x101002A2 = 0xC971

Addr 0x101002A4 = 0xEF7D

Addr 0x101002A6 = 0x177C

Addr 0x101002A8 = 0x3D6E

Addr 0x101002AA = 0x5C56

Addr 0x101002AC = 0x7137

Addr 0x101002AE = 0x7D11

Addr 0x101002B0 = 0x7CE9

Addr 0x101002B2 = 0x6EC3

Addr 0x101002B4 = 0x56A4

Addr 0x101002B6 = 0x378F

Addr 0x101002B8 = 0x1183

Addr 0x101002BA = 0xE984

Addr 0x101002BC = 0xC392

Addr 0x101002BE = 0xA4AA

Addr 0x101002C0 = 0x8FC9

Addr 0x101002C2 = 0x83EF

Addr 0x101002C4 = 0x8417

Addr 0x101002C6 = 0x923D

Addr 0x101002C8 = 0xAA5C

Addr 0x101002CA = 0xC971

Addr 0x101002CC = 0xEF7D

Addr 0x101002CE = 0x177C

Addr 0x101002D0 = 0x3D6E

Addr 0x101002D2 = 0x5C56

Addr 0x101002D4 = 0x7137

Addr 0x101002D6 = 0x7D11

Addr 0x101002D8 = 0x7CE9

Addr 0x101002DA = 0x6EC3

Addr 0x101002DC = 0x56A4

Addr 0x101002DE = 0x378F

Addr 0x101002E0 = 0x1183

Addr 0x101002E2 = 0xE984

Addr 0x101002E4 = 0xC392

Addr 0x101002E6 = 0xA4AA

Addr 0x101002E8 = 0x8FC9

Addr 0x101002EA = 0x83EF

Addr 0x101002EC = 0x8417

Addr 0x101002EE = 0x923D

Addr 0x101002F0 = 0xAA5C

Addr 0x101002F2 = 0xC971

Addr 0x101002F4 = 0xEF7D

Addr 0x101002F6 = 0x177C

Addr 0x101002F8 = 0x3D6E

